id,title,recommended_visual,final_visual,current_taxonomy,inferred_gap_type,inferred_source_type,inferred_cause_type,current_engine_visual,current_engine_candidate_id,current_engine_workflow,resolved_by_current_engine,active_gap,still_no_candidate,engine_error,source_type_manual,cause_type_manual,action_hint_manual,generalizable_manual,note
1,교육청 회의 오찬 장소 정하기,🤝,🍴,workflow_mismatch,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,action_not_captured,🤝,meeting,meeting,false,true,false,false,,,,,회의는 맥락이고 실제 행동은 오찬 장소 선정
2,식생활교육 보도자료 확인,📄,📰,action_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_priority,📄,document_review,document,false,true,false,false,,,,,확인의 대상인 보도자료에 중점
3,회의실 예약,chair (gray),💻,workflow_mismatch,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,interface_ignored,chair (gray),room_cleanup,room_cleanup,false,true,false,false,,,,,회의 당일 회의실 세팅이 아닌 행정 내부 시스템에 의한 예약이 실제 행동임
4,지피터스 AI 스터디 신청,🧑‍🏫,robot (orange),personal_preference,inferred_no_candidate,PHILOSOPHY_MISMATCH,object_priority,🧑‍🏫,training_session_attendance,training_session_attendance,false,true,false,false,,,,,"스터디 대상에 중점, 지피터스라는 회사의 대표 색이 orange 임."
5,알뜰폰 할인 종료일,없음,day calendar,no_candidate,inferred_no_candidate,CANDIDATE_ABSENT,catalog_gap,📅,work_calendar_organization,work_calendar_organization,false,true,false,false,,,,,혜택 마감일을 특정함
7,본인인증화면 수정 제안,qr-code,📞 or 📧,boundary_ambiguity,inferred_ambiguous_channel,CANDIDATE_WRONG_TOP,object_vs_channel,qr-code,qr_code_scan_auth,qr_code_scan_auth,false,true,false,false,,,,,화면을 수정해달라는 제안을 전화로 하는 행동임
8,"4/9, 24 출장 여비 등록",💰,💻,action_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,interface_ignored,💰,salary_system,salary_system,false,true,false,false,,,,,"출장 여비 등록은 급여 관련 업무가 아니며, 개인적 출장 내역을 행정 내부 시스템으로 등록하는 행위임"
9,자치구 담당자 공문 안내 협조 요청,📄,📧,channel_vs_object,inferred_workflow_boundary,CANDIDATE_WRONG_TOP,object_vs_channel,📄,document_request,document,false,true,false,false,,,,,공문을 전파해줄 것을 메일로 요청하는 것이 실제 행위임
11,민방위 대피 훈련,mop-bucket (brown),person running (green),action_vs_object,inferred_no_candidate,PHILOSOPHY_MISMATCH,action_not_captured,mop-bucket (brown),room_cleaning,room_cleaning,false,true,false,false,,,,,"긴급시 외부로 대피 훈련하는 것이 실제 행위, 초록색 비상탈출구에서 연상"
12,보도자료 초안 검토 요청,📄,📧 or 📞,boundary_ambiguity,inferred_ambiguous_channel,CANDIDATE_WRONG_TOP,object_vs_channel,📄,review_request,document,false,true,false,false,,,,,홍보 담당자에게 전화 혹은 이메일로 초안 검토를 요청하는 것이 실제 행위
